"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"25","1_426_1",0,0.506241492367557,0.102692301674436,0.133522124842178,0.0705772115153844,0.102692301674436,0.208908131881431,0.536278191581713,0.795969040978047,0.422833425785093,0.502505521440928,0.556014121721379,0.851071762364822,0.935727932351588,0.0338868329581211,0.840009713551865,0.561681646464579,0.469360444801535,0.87149438608643,0.957712714531771,0.0762453304128637,0.597231734624837,0.354761345578806,0.0044104671275088,1,41,FALSE
"26","1_427_1",0,0.551203298577942,0.0902234630957992,0.125028699704552,0.0697493307101253,0.0902234630957992,0.391318641236543,0.370478660167157,0.830960469977944,0.804529126482113,0.413382813295617,0.194357013320062,0.886741054237208,0.354607778402095,0.270486955571745,0.958314611574585,0.560506884730682,0.581020304152659,0.232083231020487,0.603244016725531,0.0970756597154723,0.718583136718829,0.308693104731892,0.0288339331995671,1,41,FALSE
"27","1_428_1",0,0.518146704982504,0.108347241472125,0.138703647809359,0.0818885829092563,0.108347241472125,0.313016510811493,0.347076826308933,0.752082394837575,0.446374539238543,0.418565670927179,0.409695497267928,0.853664669625474,0.625455852436036,0.0386753847036678,0.83793143370763,0.549938144653888,0.620896610640492,0.679050949902301,0.879252924093378,0.070239533371631,0.613627237601474,0.409481863261225,0.0412621517652291,1,41,FALSE
"28","1_429_1",0,0.486261401846327,0.0845376149056577,0.132594814219696,0.0632652168677388,0.0845376149056577,0.205133899403089,0.783452899215636,0.502576977876031,0.642904024691405,0.35832547858702,0.164609934158735,0.8451470980302,0.917641313301131,0,0.977492108511398,0.737177841425034,0.869475682411611,1,0.734852765865206,0.00316288497139581,0.715021573879868,0.370017669624985,0.0654669635448025,1,41,FALSE
"29","1_432_1",0,0.459090891431384,0.111775245090464,0.0423083470480978,0.0556039440693448,0.111775245090464,0.361978281503995,0.313059535178004,0.319158437220999,0.274122458993737,0.318903613265104,0.065054592214843,0.822766443950647,0.382040302289956,0.327704679349973,0.485145165846536,0.486444432621218,0.926231480680757,0.211922804071506,0.643136529095824,0.229341616851211,0.44028491194613,0.42977834812946,0.0728375589539028,2,26,FALSE
"30","1_438_1",0,0.506680602770351,0.120935170595266,0.0583234108877449,0.0600760007783468,0.120935170595266,0.275481227357923,0.564618095582336,0.834489780438684,0.513985736041983,0.420908344919547,0.184415291357995,0.824555040636542,0.676513866701177,0.244841374158251,0.927606144841059,0.62380765340587,0.500521029855829,0.614001882708816,0.712471999210881,0.201052803587561,0.719856320768687,0.598184003286546,0.0522945710994503,1,41,FALSE
"31","1_439_1",0,0.460276428371322,0.17989873545862,0.0867898331699917,0.0593739508654323,0.17989873545862,0.198871200553125,0.791025810079659,0.545489540331659,0.456177859401948,0.384738324883581,0.0568617686554308,0.797043333947183,0.866285311204665,0.209039056367879,0.668559478982532,0.669477622617722,0.951905758381133,0.86392850245978,0.496325277872812,0.321848481590571,0.549306122523257,0.188233760254261,0.0776547049077375,1,41,FALSE
"32","1_440_1",0,0.640665418781892,0.0997046109622717,0.124119041999029,0.070544894075159,0.0997046109622717,0.381246874814823,0.296562955839611,0,0.292133587271341,0.321057919639371,0.100652881642591,0.847935284589202,0.29412242201403,0.381119727832967,0.489729035030804,0.475088780110385,0.917528093930303,0.307247128955702,0.47348402836846,0.136614612253031,0.437398327471229,0.406441537186212,0.0733361232626047,2,26,FALSE
"33","1_442_1",0,0.597597532583476,0.10972993590613,0.142821143160627,0.0822990654887135,0.10972993590613,0.470777859683634,0.830569731742566,0.289766218142359,0.930970715260456,0.309512184176416,0.23401525846033,0.865431543901037,0.113369455575436,0.172237783276109,0.734224138964503,0.890243129542649,0.869920474265294,0.854591043607709,0.852449392403919,0.241061809616779,0.896121474291049,0.467495527052775,0.060458392096187,1,41,FALSE
"34","1_443_1",0,0.480710782354261,0.222460178789901,0.085266834856836,0.0707834135689978,0.222460178789901,0.278934183917505,0.593637054668442,0.68359863534303,0.219770581689338,0.437064497436646,0.120302551107287,0.813468984064321,0.62258041789066,0.18652413249056,0.266122825174577,0.419574313010822,1,0.470544229014585,0.661264689062739,0.325428644658005,0.343829870777795,0.0474022700125463,0.0990142832658417,2,26,FALSE
