"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"752","ooh_S",194347.425509352,7215937.92877784,0.0252480178399247,45961.3880813875,0.0227701183607051,7215937.92877784,0.0252480178399247,45961.3880813875,0.0227701183607051,TRUE,0.60615083516,0.934199017895078,0.804051519165482,0.979113996657879,0.0545303215519592,0.113565222319203,0.0416045312046481,0.113565222319203,0.351956684458745,0,50011.7343735465,0.0006638248077,65481090.2533626,1e-04,"1_492_1",1,492,1,492,1,8239693.86666667,52482.1265392781,73041.7527836371,20559.6262443589,58872.0200715232,0.655151359349006,0.370243295820392,1.1217537084261,0.875753158496532,1.1418742716461,2,TRUE,0.90122589407297,0.0611740102502811,0.256273936446255,1.54112724490256,0.495625345290674
"753","print_S",146412.640394255,2243360.9999259,0.00784934946871327,14288.923566407,0.00707899596674526,2243360.9999259,0.00784934946871327,14288.923566407,0.00707899596674526,TRUE,0.60615083516,0.934199017895078,0.804051519165482,0.979113996657879,0.0545303215519592,0.113565222319203,0.0416045312046481,0.113565222319203,0.351956684458745,0,50011.7343735465,0.0006638248077,65481090.2533626,1e-04,"1_492_1",1,492,1,492,1,601634.977777778,3832.06992215145,4513.05382681693,680.983904665482,5085.27857356218,0.0478369682055284,0.115104838556749,1.32703178096164,3.72877422820738,0.268184646963931,2,TRUE,3.4909017694519,0.276881757162752,0.566125543610923,6.38154356649789,0.0177482343159301
"754","facebook_S",154567.876349277,1974002.87550933,0.00690688588356018,12573.2667229893,0.00622902796051802,1974002.87550933,0.00690688588356018,12573.2667229893,0.00622902796051802,TRUE,0.60615083516,0.934199017895078,0.804051519165482,0.979113996657879,0.0545303215519592,0.113565222319203,0.0416045312046481,0.113565222319203,0.351956684458745,0,50011.7343735465,0.0006638248077,65481090.2533626,1e-04,"1_492_1",1,492,1,492,1,334078.021992166,2127.88549039596,2367.43705349152,239.551563095556,4599.56099412713,0.0265630827769259,0.10128431505387,2.16156415130742,5.90880795970354,0.169238873021382,2,TRUE,15.4363856453315,0.945072677686626,5.52725105217543,25.3768530594549,0.00568424847492485
"755","search_S",10074.0193399634,586221.126422679,0.0020511431229242,3733.89252498522,0.0018498391430109,586221.126422679,0.0020511431229242,3733.89252498522,0.0018498391430109,TRUE,0.60615083516,0.934199017895078,0.804051519165482,0.979113996657879,0.0545303215519592,0.113565222319203,0.0416045312046481,0.113565222319203,0.351956684458745,0,50011.7343735465,0.0006638248077,65481090.2533626,1e-04,"1_492_1",1,492,1,492,1,809960,5158.98089171975,5873.75549857149,714.77460685174,4330.91778711012,0.0644012269879381,0.0300784796194936,0.839490953351139,0.723765527214527,1.3816629314311,2,TRUE,17.5246979508766,1.06903036592595,6.33298912169276,28.7861060071253,0.259652589426609
"756","newsletter",181873.560901303,6384952.69819772,0.0223404637376745,40668.4885235524,0.0201479184134404,6384952.69819772,0.0223404637376745,40668.4885235524,0.0201479184134404,TRUE,0.60615083516,0.934199017895078,0.804051519165482,0.979113996657879,0.0545303215519592,0.113565222319203,0.0416045312046481,0.113565222319203,0.351956684458745,0,50011.7343735465,0.0006638248077,65481090.2533626,1e-04,"1_492_1",1,492,1,492,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,NA,NA,NA,NA,0.163922801011379
"757","(Intercept)",732891.89196867,115064027.039081,0.398792507687112,732891.89196867,0.362833195311693,115064027.039081,0.398792507687112,732891.89196867,0.362833195311693,TRUE,0.61462987526,0.927465429107749,0.804605627746904,0.972392299385536,0.0574609534737841,0.115966104384905,0.0469051542861212,0.115966104384905,0.437056387701389,0,87274.0044347044,0.001232935623,65481090.2533626,1e-04,"1_493_1",1,493,1,493,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"758","trend",0,0,0,0,0,0,0,0,0,TRUE,0.61462987526,0.927465429107749,0.804605627746904,0.972392299385536,0.0574609534737841,0.115966104384905,0.0469051542861212,0.115966104384905,0.437056387701389,0,87274.0044347044,0.001232935623,65481090.2533626,1e-04,"1_493_1",1,493,1,493,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"759","season",0.318109430682893,116456.60814876,0.00040361895890021,741.761835342423,0.000367224443095712,116456.60814876,0.00040361895890021,741.761835342423,0.000367224443095712,TRUE,0.61462987526,0.927465429107749,0.804605627746904,0.972392299385536,0.0574609534737841,0.115966104384905,0.0469051542861212,0.115966104384905,0.437056387701389,0,87274.0044347044,0.001232935623,65481090.2533626,1e-04,"1_493_1",1,493,1,493,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"760","holiday",0.778184382981409,5415805.03327198,0.0187702666588355,216632.201330879,0.107248224025446,5415805.03327198,0.0187702666588355,216632.201330879,0.107248224025446,TRUE,0.61462987526,0.927465429107749,0.804605627746904,0.972392299385536,0.0574609534737841,0.115966104384905,0.0469051542861212,0.115966104384905,0.437056387701389,0,87274.0044347044,0.001232935623,65481090.2533626,1e-04,"1_493_1",1,493,1,493,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"761","competitor_sales_B",0.150513432530046,131132860.730726,0.454484374627609,835241.151151121,0.413503299803095,131132860.730726,0.454484374627609,835241.151151121,0.413503299803095,TRUE,0.61462987526,0.927465429107749,0.804605627746904,0.972392299385536,0.0574609534737841,0.115966104384905,0.0469051542861212,0.115966104384905,0.437056387701389,0,87274.0044347044,0.001232935623,65481090.2533626,1e-04,"1_493_1",1,493,1,493,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
